Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A433740,RETURN,03/12/2018,*REBEL,DOG,2 YEARS,LARGE,WHITE / BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A433740&location=MONT,
A436126,WILDLIFE,03/28/2018,HARRIS,OTHER,NO AGE,SMALL,BROWN / BLACK,LIZARD,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A436126&location=MONT,
A433407,STRAY,12/26/2017,*SCOOBY,DOG,7 YEARS,LARGE,BEIGE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A433407&location=MONT,"1500 AITCHESON LN, LAUREL MD 20707"
A436548,STRAY,04/09/2018,BABY,DOG,9 YEARS,LARGE,BRINDLE,MASTIFF,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A436548&location=MONT,"900 CHESLEY KNOLL CT, GAITHERSBURG MD 20879"
A429152,OWNER SUR,05/17/2018,*BUTTERBALL,CAT,4 YEARS,LARGE,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A429152&location=MONT,
A437931,STRAY,05/18/2018,*SILVER CARP,OTHER,NO AGE,LARGE,SILVER / SILVER,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A437931&location=MONT,"1200 FIDLER LN, SILVER SPRING MD 20910"
A437932,STRAY,05/18/2018,*FISH 1,OTHER,NO AGE,SMALL,YELLOW / YELLOW,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A437932&location=MONT,"1200 FIDLER LN, SILVER SPRING MD 20910"
A386892,FOSTER,05/24/2018,TONKA,DOG,4 YEARS,LARGE,WHITE / BLACK,POINTER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A386892&location=MONT,
A436401,OWNER SUR,04/05/2018,BISON,DOG,2 YEARS,MED,WHITE / GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A436401&location=MONT,
A436879,OWNER SUR,04/16/2018,COCONUT,CAT,2 YEARS,MED,CREAM / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A436879&location=MONT,
A434478,OWNER SUR,02/01/2018,NICO,DOG,8 YEARS,LARGE,TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A434478&location=MONT,
A438690,STRAY,06/04/2018,*BOU,DOG,8 YEARS,MED,BLACK,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438690&location=MONT,"ROCKVILLE PIKE & BOU AVE, ROCKVILLE MD 20852"
A438852,OWNER SUR,06/09/2018,MAX,OTHER,2 YEARS,SMALL,WHITE,HAMSTER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438852&location=MONT,
A438599,STRAY,06/02/2018,*RAVI,DOG,5 YEARS,MED,WHITE / BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438599&location=MONT,"0 OSWEGO AVE, SILVER SPRING MD 20910"
A401049,OWNER SUR,06/15/2018,*YAHTZEE,CAT,3 YEARS,SMALL,GRAY TAB / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A401049&location=MONT,
A439069,STRAY,06/15/2018,LUNA,CAT,4 YEARS,MED,GRAY TAB / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439069&location=MONT,"1100 RESERVE CHAMPION DR, ROCKVILLE MD 20850"
A431696,FOSTER,06/06/2018,*MEOWETH,CAT,3 YEARS,MED,WHITE / GRAY TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A431696&location=MONT,
A436437,OWNER SUR,04/05/2018,*MONDI,CAT,5 YEARS,MED,WHITE / BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A436437&location=MONT,
A439173,STRAY,06/18/2018,MAX,CAT,8 YEARS,MED,GRAY / WHITE,DOMESTIC LH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439173&location=MONT,"500 BRADFORD DR, ROCKVILLE MD 20850"
A406631,STRAY,06/18/2018,FRISKY,DOG,5 YEARS,SMALL,BLACK / WHITE,JACK RUSS TERR / RAT TERRIER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A406631&location=MONT,"23600 ROLLING FORK WAY, GAITHERSBURG MD 20882"
A439234,STRAY,06/19/2018,DOG,DOG,NO AGE,MED,BLACK,POODLE STND,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439234&location=MONT,"CONNECTICUT AVE AND EAST WEST HWY,CHEVY CHASE MD"
A439389,OWNER SUR,06/23/2018,NATHAN,OTHER,2 YEARS,SMALL,WHITE,HAMSTER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439389&location=MONT,
A438841,OWNER SUR,06/09/2018,NINJA,CAT,8 YEARS,MED,GRAY / WHITE,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438841&location=MONT,
A426407,CONFISCATE,06/28/2017,CALYPSO,DOG,7 YEARS,LARGE,BRINDLE / BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A426407&location=MONT,
A438807,OWNER SUR,06/08/2018,HOOPS,CAT,9 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438807&location=MONT,
A439625,STRAY,06/28/2018,*WOBBLE,BIRD,NO AGE,SMALL,WHITE,DOVE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439625&location=MONT,"0 SHARPSTEAD LN, GAITHERSBURG MD 20878"
A438816,OWNER SUR,06/08/2018,REESE,DOG,2 YEARS,MED,BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438816&location=MONT,
A437354,RETURN,06/18/2018,MR GREYSON,CAT,7 YEARS,MED,LYNX PT,SIAMESE / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A437354&location=MONT,
A424854,OWNER SUR,06/29/2018,SIR FLIP,CAT,12 YEARS,LARGE,BRN TABBY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A424854&location=MONT,
A338036,OWNER SUR,01/22/2018,PEPPER,CAT,9 YEARS,SMALL,BRN TABBY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A338036&location=MONT,
A387442,OWNER SUR,06/12/2018,TYLER,CAT,4 YEARS,SMALL,GRAY TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A387442&location=MONT,
A436431,OWNER SUR,04/05/2018,*LANE,CAT,5 YEARS,SMALL,BRN TABBY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A436431&location=MONT,
A435248,OWNER SUR,02/27/2018,CHICO,DOG,5 YEARS,LARGE,TAN / BLACK,GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A435248&location=MONT,
A440094,OWNER SUR,07/10/2018,LUNA,CAT,2 YEARS,SMALL,BLUE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440094&location=MONT,
A369285,OWNER SUR,07/10/2018,JAZ,CAT,6 YEARS,SMALL,BRN TABBY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A369285&location=MONT,
A439953,OWNER SUR,07/06/2018,LILLY,CAT,12 YEARS,MED,TORTIE,DOMESTIC MH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439953&location=MONT,
A438918,STRAY,06/11/2018,SADIE,DOG,3 YEARS,LARGE,WHITE / BLACK,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438918&location=MONT,"9800 CONNECTICUT AVE, KENSINGTON MD 20895"
A412347,OWNER SUR,06/29/2018,STAR,CAT,4 YEARS,MED,GRAY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A412347&location=MONT,
A436448,OWNER SUR,04/05/2018,*JAYMI,CAT,7 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A436448&location=MONT,
A427258,OWNER SUR,07/03/2018,MAX,DOG,11 YEARS,SMALL,TAN,CHIHUAHUA SH / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A427258&location=MONT,
A438403,OWNER SUR,05/29/2018,*NACHOCAT,CAT,5 YEARS,LARGE,GRAY TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438403&location=MONT,
A439738,STRAY,06/30/2018,*SANGRIA,CAT,2 YEARS,MED,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439738&location=MONT,"13700 MODRAD WAY, SILVER SPRING MD 20904"
A439591,STRAY,06/26/2018,*NATE,DOG,2 YEARS,LARGE,BROWN,CHINESE SHARPEI / BULLMASTIFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439591&location=MONT,"900 NORTHAMPTON DR, SILVER SPRING MD 20903"
A439590,STRAY,06/26/2018,*NATHAN,DOG,5 YEARS,LARGE,BROWN,CHINESE SHARPEI / BULLMASTIFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439590&location=MONT,"900 NORTHAMPTON DR, SILVER SPRING MD 20903"
A440093,STRAY,07/10/2018,*BLUFF,CAT,3 YEARS,MED,BLACK / WHITE,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440093&location=MONT,"20600 BELL BLUFF RD, GAITHERSBURG MD 20879"
A832792,OWNER SUR,07/16/2018,LUCKY,DOG,9 YEARS,MED,WHITE / BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A832792&location=MONT,
A423096,FOSTER,07/19/2018,JASMINE,CAT,2 YEARS,SMALL,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A423096&location=MONT,
A440660,OWNER SUR,07/21/2018,BUSTER,OTHER,3 YEARS,MED,RED,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440660&location=MONT,
A440659,OWNER SUR,07/21/2018,MR. JINGLES,OTHER,3 YEARS,MED,TRICOLOR,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440659&location=MONT,
A440690,OWNER SUR,07/22/2018,PUCK,OTHER,2 YEARS,SMALL,BLACK / BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440690&location=MONT,
A438136,OWNER SUR,05/23/2018,BK,CAT,8 YEARS,SMALL,ORANGE,DOMESTIC LH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438136&location=MONT,
